番号,設置形態,大学名,,平成30年度大学入学者選抜,,,,,,,,平成29年度大学入学者選抜,,,,,,,,平成28年度大学入学者選抜,,,,,,,,平成27年度大学入学者選抜,,,,,,,,平成26年度大学入学者選抜,,,,,,,,平成25年度大学入学者選抜,,,,,,,
,,,,受験者数,,,合格者数,,,合格率（合格者数／受験者数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,私立,金沢医科大学,うち21歳,370,188,558,26,6,32,7%,3%,299,134,433,17,6,23,6%,4%,292,131,423,22,7,29,8%,5%,301,129,430,27,14,41,9%,11%,271,113,384,17,14,31,6%,12%,206,78,284,17,9,26,8%,12%
71,私立,金沢医科大学,うち22歳以上,919,328,"1,247",25,11,36,3%,3%,685,219,904,21,7,28,3%,3%,699,211,910,37,6,43,5%,3%,668,213,881,29,9,38,4%,4%,553,202,755,24,6,30,4%,3%,485,157,642,41,8,49,8%,5%
72,私立,愛知医科大学,合計,"1,779","1,170","2,949",195,107,302,11%,9%,"1,894","1,098","2,992",167,136,303,9%,12%,"1,863","1,048","2,911",266,156,422,14%,15%,"1,895","1,068","2,963",204,122,326,11%,11%,"1,967","1,115","3,082",190,111,301,10%,10%,"1,666",896,"2,562",161,98,259,10%,11%
72,私立,愛知医科大学,うち18歳以下,303,328,631,27,24,51,9%,7%,384,292,676,31,30,61,8%,10%,328,298,626,45,46,91,14%,15%,360,303,663,42,35,77,12%,12%,346,326,672,35,43,78,10%,13%,329,281,610,31,35,66,9%,12%
72,私立,愛知医科大学,うち19歳,548,404,952,91,43,134,17%,11%,525,379,904,69,64,133,13%,17%,512,310,822,106,59,165,21%,19%,427,302,729,56,47,103,13%,16%,475,311,786,65,34,99,14%,11%,445,261,706,63,37,100,14%,14%
72,私立,愛知医科大学,うち20歳,332,222,554,44,26,70,13%,12%,371,203,574,41,32,73,11%,16%,349,197,546,51,30,81,15%,15%,372,204,576,61,26,87,16%,13%,406,215,621,56,21,77,14%,10%,309,163,472,39,15,54,13%,9%
72,私立,愛知医科大学,うち21歳,224,95,319,22,9,31,10%,9%,212,90,302,16,7,23,8%,8%,228,98,326,35,12,47,15%,12%,245,105,350,32,10,42,13%,10%,246,89,335,22,11,33,9%,12%,167,75,242,16,9,25,10%,12%
72,私立,愛知医科大学,うち22歳以上,372,121,493,11,5,16,3%,4%,402,134,536,10,3,13,2%,2%,446,145,591,29,9,38,7%,6%,491,154,645,13,4,17,3%,3%,494,174,668,12,2,14,2%,1%,416,116,532,12,2,14,3%,2%
73,私立,藤田保健衛生大学,合計,"2,102","1,399","3,501",218,121,339,10%,9%,"1,746",969,"2,715",213,132,345,12%,14%,"2,660","1,599","4,259",234,131,365,9%,8%,"2,300","1,329","3,629",173,111,284,8%,8%,"2,793","1,552","4,345",180,78,258,6%,5%,"2,737","1,458","4,195",163,86,249,6%,6%
73,私立,藤田保健衛生大学,うち18歳以下,432,439,871,39,33,72,9%,8%,420,275,695,47,30,77,11%,11%,466,442,908,52,34,86,11%,8%,429,338,767,55,30,85,13%,9%,434,330,764,29,20,49,7%,6%,474,344,818,20,18,38,4%,5%
73,私立,藤田保健衛生大学,うち19歳,685,433,"1,118",95,48,143,14%,11%,494,352,846,92,66,158,19%,19%,692,515,"1,207",110,66,176,16%,13%,553,402,955,65,48,113,12%,12%,633,456,"1,089",73,32,105,12%,7%,673,428,"1,101",50,32,82,7%,7%
73,私立,藤田保健衛生大学,うち20歳,399,289,688,53,24,77,13%,8%,334,180,514,57,27,84,17%,15%,496,278,774,47,26,73,9%,9%,357,204,561,27,21,48,8%,10%,497,261,758,38,15,53,8%,6%,484,283,767,32,18,50,7%,6%
73,私立,藤田保健衛生大学,うち21歳,208,94,302,17,9,26,8%,10%,156,67,223,10,7,17,6%,10%,294,128,422,19,3,22,6%,2%,266,127,393,8,6,14,3%,5%,373,147,520,15,4,19,4%,3%,287,131,418,16,3,19,6%,2%
73,私立,藤田保健衛生大学,うち22歳以上,378,144,522,14,7,21,4%,5%,342,95,437,7,2,9,2%,2%,712,236,948,6,2,8,1%,1%,695,258,953,18,6,24,3%,2%,856,358,"1,214",25,7,32,3%,2%,819,272,"1,091",45,15,60,5%,6%
74,私立,大阪医科大学,合計,"1,654","1,005","2,659",215,118,333,13%,12%,"1,791","1,061","2,852",194,82,276,11%,8%,"1,886","1,036","2,922",196,100,296,10%,10%,"1,849","1,088","2,937",198,88,286,11%,8%,"1,980","1,212","3,192",208,89,297,11%,7%,"1,947","1,115","3,062",242,87,329,12%,8%
74,私立,大阪医科大学,うち18歳以下,338,335,673,45,40,85,13%,12%,329,284,613,34,22,56,10%,8%,378,304,682,33,26,59,9%,9%,347,311,658,32,18,50,9%,6%,365,312,677,34,21,55,9%,7%,380,364,744,36,21,57,9%,6%
74,私立,大阪医科大学,うち19歳,507,277,784,98,50,148,19%,18%,484,341,825,79,31,110,16%,9%,523,311,834,82,48,130,16%,15%,496,319,815,75,38,113,15%,12%,557,414,971,75,37,112,13%,9%,612,342,954,101,50,151,17%,15%
74,私立,大阪医科大学,うち20歳,292,163,455,42,18,60,14%,11%,331,182,513,38,20,58,11%,11%,303,159,462,25,15,40,8%,9%,363,195,558,42,16,58,12%,8%,409,191,600,51,18,69,12%,9%,361,159,520,50,7,57,14%,4%
74,私立,大阪医科大学,うち21歳,165,76,241,13,7,20,8%,9%,169,74,243,19,3,22,11%,4%,200,96,296,26,6,32,13%,6%,188,97,285,20,10,30,11%,10%,238,102,340,21,5,26,9%,5%,175,84,259,24,4,28,14%,5%
74,私立,大阪医科大学,うち22歳以上,352,154,506,17,3,20,5%,2%,478,180,658,24,6,30,5%,3%,482,166,648,30,5,35,6%,3%,455,166,621,29,6,35,6%,4%,411,193,604,27,8,35,7%,4%,419,166,585,31,5,36,7%,3%
75,私立,関西医科大学,合計,"1,910","1,302","3,212",146,116,262,8%,9%,"2,025","1,364","3,389",155,105,260,8%,8%,"1,945","1,243","3,188",189,101,290,10%,8%,"2,409","1,627","4,036",178,79,257,7%,5%,"2,353","1,611","3,964",150,111,261,6%,7%,"1,822","1,094","2,916",165,96,261,9%,9%
75,私立,関西医科大学,うち18歳以下,392,470,862,22,38,60,6%,8%,426,420,846,33,32,65,8%,8%,394,414,808,28,31,59,7%,7%,491,499,990,25,23,48,5%,5%,403,470,873,14,30,44,3%,6%,362,366,728,18,33,51,5%,9%
75,私立,関西医科大学,うち19歳,563,371,934,63,49,112,11%,13%,576,427,"1,003",55,34,89,10%,8%,592,398,990,76,47,123,13%,12%,642,469,"1,111",69,30,99,11%,6%,670,511,"1,181",65,49,114,10%,10%,567,367,934,87,43,130,15%,12%
75,私立,関西医科大学,うち20歳,365,218,583,30,18,48,8%,8%,397,221,618,37,25,62,9%,11%,334,166,500,40,14,54,12%,8%,452,289,741,39,15,54,9%,5%,483,283,766,35,19,54,7%,7%,371,167,538,27,11,38,7%,7%
75,私立,関西医科大学,うち21歳,189,78,267,12,6,18,6%,8%,191,92,283,12,3,15,6%,3%,183,104,287,20,2,22,11%,2%,262,136,398,16,6,22,6%,4%,287,113,400,14,7,21,5%,6%,142,71,213,10,5,15,7%,7%
75,私立,関西医科大学,うち22歳以上,401,165,566,19,5,24,5%,3%,435,204,639,18,11,29,4%,5%,442,161,603,25,7,32,6%,4%,562,234,796,29,5,34,5%,2%,510,234,744,22,6,28,4%,3%,380,123,503,23,4,27,6%,3%
76,私立,近畿大学,合計,"2,351","1,490","3,841",184,88,272,8%,6%,"2,486","1,552","4,038",187,82,269,8%,5%,"2,717","1,659","4,376",195,93,288,7%,6%,"2,709","1,783","4,492",215,134,349,8%,8%,"2,772","1,986","4,758",193,121,314,7%,6%,"2,545","1,637","4,182",189,101,290,7%,6%
76,私立,近畿大学,うち18歳以下,430,460,890,32,24,56,7%,5%,440,412,852,28,21,49,6%,5%,465,454,919,21,25,46,5%,6%,546,515,"1,061",25,35,60,5%,7%,572,562,"1,134",40,26,66,7%,5%,525,503,"1,028",33,29,62,6%,6%
76,私立,近畿大学,うち19歳,657,475,"1,132",68,40,108,10%,8%,657,512,"1,169",63,26,89,10%,5%,764,554,"1,318",73,42,115,10%,8%,675,546,"1,221",65,53,118,10%,10%,766,661,"1,427",61,54,115,8%,8%,717,550,"1,267",59,43,102,8%,8%
76,私立,近畿大学,うち20歳,373,236,609,43,14,57,12%,6%,392,234,626,42,22,64,11%,9%,405,243,648,36,15,51,9%,6%,429,291,720,44,25,69,10%,9%,456,300,756,28,23,51,6%,8%,420,234,654,36,11,47,9%,5%
76,私立,近畿大学,うち21歳,235,83,318,22,4,26,9%,5%,235,127,362,21,3,24,9%,2%,240,137,377,23,5,28,10%,4%,260,134,394,24,14,38,9%,10%,279,156,435,17,10,27,6%,6%,241,112,353,17,6,23,7%,5%
76,私立,近畿大学,うち22歳以上,656,236,892,19,6,25,3%,3%,762,267,"1,029",33,10,43,4%,4%,843,271,"1,114",42,6,48,5%,2%,799,297,"1,096",57,7,64,7%,2%,699,307,"1,006",47,8,55,7%,3%,642,238,880,44,12,56,7%,5%
77,私立,兵庫医科大学,合計,"1,622","1,199","2,821",137,111,248,8%,9%,"1,587","1,035","2,622",137,90,227,9%,9%,"1,622","1,061","2,683",156,77,233,10%,7%,"1,731","1,130","2,861",144,76,220,8%,7%,"1,762","1,301","3,063",121,90,211,7%,7%,"1,635","1,096","2,731",134,73,207,8%,7%
77,私立,兵庫医科大学,うち18歳以下,323,357,680,30,37,67,9%,10%,329,296,625,28,18,46,9%,6%,328,293,621,19,23,42,6%,8%,363,311,674,21,12,33,6%,4%,302,374,676,16,25,41,5%,7%,323,339,662,28,23,51,9%,7%
77,私立,兵庫医科大学,うち19歳,445,363,808,53,44,97,12%,12%,415,325,740,52,35,87,13%,11%,438,319,757,44,25,69,10%,8%,441,357,798,51,35,86,12%,10%,481,429,910,48,34,82,10%,8%,457,333,790,52,27,79,11%,8%
77,私立,兵庫医科大学,うち20歳,337,239,576,36,23,59,11%,10%,314,202,516,23,25,48,7%,12%,332,221,553,51,23,74,15%,10%,358,216,574,39,20,59,11%,9%,382,216,598,27,17,44,7%,8%,320,192,512,27,9,36,8%,5%
77,私立,兵庫医科大学,うち21歳,195,87,282,13,4,17,7%,5%,193,79,272,20,5,25,10%,6%,189,106,295,19,4,23,10%,4%,207,104,311,22,7,29,11%,7%,228,105,333,15,7,22,7%,7%,190,97,287,13,6,19,7%,6%
77,私立,兵庫医科大学,うち22歳以上,322,153,475,5,3,8,2%,2%,336,133,469,14,7,21,4%,5%,335,122,457,23,2,25,7%,2%,362,142,504,11,2,13,3%,1%,369,177,546,15,7,22,4%,4%,345,135,480,14,8,22,4%,6%
78,私立,川崎医科大学,合計,943,564,"1,507",130,85,215,14%,15%,"1,068",604,"1,672",140,77,217,13%,13%,"1,057",566,"1,623",119,81,200,11%,14%,"1,153",633,"1,786",128,81,209,11%,13%,"1,101",595,"1,696",118,51,169,11%,9%,974,467,"1,441",111,57,168,11%,12%
78,私立,川崎医科大学,うち18歳以下,35,28,63,4,4,8,11%,14%,36,29,65,4,1,5,11%,3%,42,24,66,4,2,6,10%,8%,33,24,57,2,4,6,6%,17%,39,29,68,4,4,8,10%,14%,47,27,74,5,5,10,11%,19%
78,私立,川崎医科大学,うち19歳,157,124,281,20,19,39,13%,15%,167,145,312,23,13,36,14%,9%,179,142,321,23,16,39,13%,11%,207,158,365,15,16,31,7%,10%,184,173,357,21,16,37,11%,9%,172,118,290,20,11,31,12%,9%
78,私立,川崎医科大学,うち20歳,210,155,365,34,17,51,16%,11%,226,172,398,28,13,41,12%,8%,249,160,409,36,24,60,14%,15%,257,198,455,25,25,50,10%,13%,272,160,432,38,18,56,14%,11%,241,134,375,27,16,43,11%,12%
78,私立,川崎医科大学,うち21歳,160,123,283,30,29,59,19%,24%,201,103,304,38,21,59,19%,20%,192,117,309,25,23,48,13%,20%,232,136,368,28,22,50,12%,16%,226,92,318,32,10,42,14%,11%,198,88,286,26,13,39,13%,15%
78,私立,川崎医科大学,うち22歳以上,381,134,515,42,16,58,11%,12%,438,155,593,47,29,76,11%,19%,395,123,518,31,16,47,8%,13%,424,117,541,58,14,72,14%,12%,380,141,521,23,3,26,6%,2%,316,100,416,33,12,45,10%,12%
79,私立,久留米大学,合計,"1,425",746,"2,171",136,57,193,10%,8%,"1,380",665,"2,045",141,63,204,10%,9%,"1,395",615,"2,010",135,59,194,10%,10%,"1,382",654,"2,036",120,56,176,9%,9%,"1,410",597,"2,007",120,67,187,9%,11%,"1,149",522,"1,671",136,51,187,12%,10%
79,私立,久留米大学,うち18歳以下,194,187,381,15,15,30,8%,8%,207,140,347,21,9,30,10%,6%,183,146,329,5,8,13,3%,5%,191,154,345,10,7,17,5%,5%,202,107,309,11,4,15,5%,4%,163,122,285,16,11,27,10%,9%
79,私立,久留米大学,うち19歳,349,244,593,40,23,63,11%,9%,286,213,499,42,33,75,15%,15%,327,182,509,41,26,67,13%,14%,305,197,502,28,21,49,9%,11%,311,196,507,39,23,62,13%,12%,282,144,426,41,19,60,15%,13%
79,私立,久留米大学,うち20歳,238,105,343,30,8,38,13%,8%,263,116,379,24,9,33,9%,8%,258,115,373,29,10,39,11%,9%,228,98,326,29,9,38,13%,9%,263,110,373,15,19,34,6%,17%,227,107,334,30,9,39,13%,8%
79,私立,久留米大学,うち21歳,176,66,242,16,5,21,9%,8%,168,71,239,15,6,21,9%,8%,170,65,235,22,8,30,13%,12%,171,64,235,14,10,24,8%,16%,184,60,244,16,9,25,9%,15%,131,59,190,14,7,21,11%,12%
79,私立,久留米大学,うち22歳以上,468,144,612,35,6,41,7%,4%,456,125,581,39,6,45,9%,5%,457,107,564,38,7,45,8%,7%,487,141,628,39,9,48,8%,6%,450,124,574,39,12,51,9%,10%,346,90,436,35,5,40,10%,6%
80,私立,産業医科大学,合計,"1,162",713,"1,875",79,49,128,7%,7%,"1,046",646,"1,692",77,54,131,7%,8%,"1,126",661,"1,787",62,56,118,6%,8%,"1,197",680,"1,877",79,41,120,7%,6%,"1,321",777,"2,098",81,42,123,6%,5%,"1,310",721,"2,031",66,49,115,5%,7%
80,私立,産業医科大学,うち18歳以下,169,156,325,17,4,21,10%,3%,165,157,322,10,10,20,6%,6%,174,155,329,9,14,23,5%,9%,176,156,332,10,14,24,6%,9%,183,159,342,9,7,16,5%,4%,215,155,370,6,8,14,3%,5%
80,私立,産業医科大学,うち19歳,411,306,717,32,26,58,8%,8%,356,252,608,34,28,62,10%,11%,404,263,667,28,25,53,7%,10%,396,283,679,27,20,47,7%,7%,502,304,806,36,17,53,7%,6%,490,282,772,24,30,54,5%,11%
80,私立,産業医科大学,うち20歳,262,125,387,22,14,36,8%,11%,223,108,331,20,11,31,9%,10%,237,126,363,11,13,24,5%,10%,277,110,387,13,1,14,5%,1%,297,160,457,19,12,31,6%,8%,293,131,424,22,8,30,8%,6%
80,私立,産業医科大学,うち21歳,118,49,167,7,3,10,6%,6%,116,61,177,7,2,9,6%,3%,125,49,174,6,1,7,5%,2%,139,51,190,11,1,12,8%,2%,145,56,201,8,2,10,6%,4%,132,69,201,10,1,11,8%,1%
80,私立,産業医科大学,うち22歳以上,202,77,279,1,2,3,0%,3%,186,68,254,6,3,9,3%,4%,186,68,254,8,3,11,4%,4%,209,80,289,18,5,23,9%,6%,194,98,292,9,4,13,5%,4%,180,84,264,4,2,6,2%,2%
81,私立,福岡大学,合計,"2,255","1,400","3,655",154,96,250,7%,7%,"2,307","1,322","3,629",172,109,281,7%,8%,"2,200","1,163","3,363",137,96,233,6%,8%,"2,346","1,338","3,684",157,86,243,7%,6%,"2,388","1,375","3,763",202,87,289,8%,6%,"1,869","1,004","2,873",121,94,215,6%,9%
81,私立,福岡大学,うち18歳以下,373,331,704,22,24,46,6%,7%,409,334,743,19,22,41,5%,7%,379,318,697,11,24,35,3%,8%,402,361,763,21,11,32,5%,3%,428,339,767,23,15,38,5%,4%,360,276,636,21,23,44,6%,8%
81,私立,福岡大学,うち19歳,630,475,"1,105",59,44,103,9%,9%,547,422,969,45,43,88,8%,10%,614,392,"1,006",61,45,106,10%,11%,605,422,"1,027",55,41,96,9%,10%,620,453,"1,073",92,33,125,15%,7%,480,299,779,49,34,83,10%,11%
81,私立,福岡大学,うち20歳,434,265,699,30,16,46,7%,6%,500,261,761,48,26,74,10%,10%,451,217,668,37,16,53,8%,7%,464,257,721,38,16,54,8%,6%,470,256,726,40,26,66,9%,10%,367,189,556,19,19,38,5%,10%
81,私立,福岡大学,うち21歳,278,132,410,13,6,19,5%,5%,300,125,425,27,9,36,9%,7%,246,109,355,13,7,20,5%,6%,288,119,407,20,9,29,7%,8%,315,123,438,20,8,28,6%,7%,218,94,312,13,7,20,6%,7%
81,私立,福岡大学,うち22歳以上,540,197,737,30,6,36,6%,3%,551,180,731,33,9,42,6%,5%,510,127,637,15,4,19,3%,3%,587,179,766,23,9,32,4%,5%,555,204,759,27,5,32,5%,2%,444,146,590,19,11,30,4%,8%
